İl                             Province,"Kütüphane sayısı
Number of libraries","Kütüphaneden yararlanan kişi sayısı
Number of people benefiting from the library","Kütüphaneye kayıtlı üye sayısı
Number of registered members of the library","Ödünç verilen materyal sayısı
Number of 
materials lent","Kitap sayısı
Number of books",Genel                                                            Generalities,Felsefe ve psikoloji                                     Philosophy and psychology,Din                                                              Religion,Sosyal bilimler                                                   Social sciences,Dil ve dil bilim                           Language and linguistics,"Doğa bilimleri ve matematik                                       Natural sciences 
and mathematics",Uygulamalı bilimler ve teknoloji                                                                Applied sciences and technology,Sanat                                                      The arts,Edebiyat ve retorik                    Literature and rhetoric,"Coğrafya, tarih ve yardımcı disiplinler Geography, history and subsidiary disciplines"
Adıyaman,  13, 693 363, 77 061, 62 074, 225 919,  6 044,  9 275,  17 889,  39 561,  3 581,  3 779,  6 704,  8 341,  112 260,  18 485
Kilis,  4, 152 626, 24 276, 20 975, 71 671,  2 518,  2 782,  4 413,  16 160,   907,  1 301,  1 934,  2 253,  33 838,  5 565
Şanlıurfa,  12, 578 352, 97 399, 91 276, 231 574,  6 871,  9 253,  17 144,  41 109,  3 469,  4 527,  6 733,  8 552,  112 133,  21 783
Diyarbakır,  19, 942 877, 148 086, 112 609, 204 896,  5 857,  7 926,  14 280,  40 683,  2 964,  3 555,  6 645,  6 931,  98 490,  17 565
Mardin,  12, 317 979, 78 796, 123 356, 264 440,  3 998,  11 176,  17 611,  49 854,  3 246,  4 494,  8 005,  7 822,  139 725,  18 509
Batman,  12,2 375 018, 84 995, 69 222, 210 072,  4 049,  10 416,  15 524,  38 235,  2 790,  4 150,  7 171,  6 705,  104 405,  16 627
Şırnak,  7, 233 308, 45 879, 71 834, 172 798,  2 545,  8 152,  14 107,  30 583,  2 547,  3 064,  5 501,  6 708,  85 455,  14 136
Siirt,  8, 146 188, 40 129, 45 163, 122 050,  2 050,  4 909,  8 027,  23 848,  1 629,  2 091,  3 435,  4 445,  60 496,  11 120
"TÜİK, Kütüphane İstatistikleri, 2025",,,,,,,,,,,,,,,
"TurkStat, Library Statistics, 2025",,,,,,,,,,,,,,,
"Kaynak: Kültür ve Turizm Bakanlığı, Kütüphaneler ve Yayımlar Genel Müdürlüğü",,,,,,,,,,,,,,,
"Source: Ministry of Culture and Tourism, General Directorate of Libraries and Publications",,,,,,,,,,,,,,,
